City_ID,City,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Description
267,Jiwani,25.05,61.7417,76.59,76.59,80,95,17.67,PK,overcast clouds
268,Half Moon Bay,37.4636,-122.4286,53.01,46.99,87,90,8.05,US,mist
269,Fomboni,-12.28,43.7425,82.63,82.63,69,0,4.7,KM,clear sky
270,Quimper,48.0,-4.1,48.2,48.2,71,90,17.27,FR,overcast clouds
271,Sarankhola,22.3082,89.7897,99.84,99.84,30,0,2.06,BD,clear sky
272,Saint-Georges,12.0564,-61.7485,78.8,78.8,83,20,11.5,GD,few clouds
273,Villarrica,-25.75,-56.4333,67.1,67.1,48,0,4.21,PY,clear sky
274,Salinopolis,-0.6136,-47.3561,77.14,77.14,87,100,6.58,BR,moderate rain
275,Bongandanga,1.5,21.05,71.08,71.08,97,91,2.64,CD,overcast clouds
276,Shenjiamen,29.9576,122.298,52.3,52.3,72,95,6.04,CN,overcast clouds
277,Kargasok,59.0556,80.8572,1.06,1.06,90,4,8.7,RU,clear sky
278,Guerrero Negro,27.9769,-114.0611,55.13,55.13,66,0,12.77,MX,clear sky
279,Betanzos,43.2804,-8.2147,52.0,48.0,87,0,8.05,ES,clear sky
280,Buta,2.7858,24.73,70.29,70.29,93,85,0.83,CD,overcast clouds
281,San Andres,12.5847,-81.7006,80.6,80.6,78,20,13.8,CO,few clouds
282,Cockburn Town,21.4612,-71.1419,76.37,76.37,75,13,19.64,TC,few clouds
283,Tarko-Sale,64.9225,77.785,13.41,13.41,88,100,27.51,RU,overcast clouds
284,Ati,13.2154,18.3353,79.32,79.32,9,45,13.06,TD,scattered clouds
285,Sines,37.9562,-8.8698,46.0,46.0,91,1,5.01,PT,clear sky
286,Palmer,42.1584,-72.3287,44.6,42.8,39,1,23.02,US,clear sky
287,Keuruu,62.2667,24.7,24.01,23.0,93,90,4.61,FI,light snow
288,Port Hueneme,34.1478,-119.1951,53.6,46.0,82,1,8.77,US,clear sky
289,Abeche,13.8292,20.8324,81.19,81.19,11,7,24.54,TD,clear sky
290,Kieta,-6.2167,155.6333,84.06,84.06,66,73,7.0,PG,light rain
291,Leningradskiy,69.3833,178.4167,18.93,18.93,83,100,10.51,RU,overcast clouds
292,Kayerkan,69.3497,87.7602,-8.43,-8.43,94,100,28.5,RU,light snow
293,Seoul,37.5683,126.9778,59.0,55.4,44,99,4.61,KR,overcast clouds
294,Teberda,43.4456,41.7448,22.78,22.78,81,100,2.8,RU,overcast clouds
295,Xacmaz,41.4635,48.806,29.73,29.73,83,90,3.0,AZ,overcast clouds
296,Foam Lake,51.65,-103.5343,35.6,35.6,64,61,13.8,CA,broken clouds
297,Jinhua,29.1078,119.6547,66.07,66.07,62,29,3.29,CN,scattered clouds
298,Fort Smith,35.3859,-94.3986,66.2,63.0,94,90,9.22,US,overcast clouds
299,Ovalle,-30.5983,-71.2003,55.76,55.76,94,0,1.14,CL,clear sky
300,Faya,18.3851,42.4509,57.2,55.4,71,0,8.23,SA,clear sky
301,Clyde River,70.4692,-68.5914,-4.0,-4.0,77,90,16.11,CA,light snow
302,Kaura Namoda,12.5898,6.5779,69.24,69.24,20,35,1.99,NG,scattered clouds
303,Athabasca,54.7169,-113.2854,37.4,33.8,75,100,2.3,CA,overcast clouds
304,Maraba,-5.3686,-49.1178,75.2,75.2,100,0,2.71,BR,light rain
305,Usinsk,65.9939,57.5281,12.67,12.67,92,100,15.84,RU,overcast clouds
306,Goianesia,-15.3175,-49.1175,68.36,68.36,90,69,1.05,BR,broken clouds
307,Bermeo,43.4209,-2.7215,42.01,39.0,93,20,5.75,ES,few clouds
308,Clovis,36.8252,-119.7029,53.6,46.0,54,20,3.44,US,few clouds
309,Oswego,43.4501,-76.1497,30.2,28.99,51,1,24.16,US,clear sky
310,Bowen,-20.0167,148.2333,87.8,87.8,55,20,11.5,AU,few clouds
311,Hofn,64.2539,-15.2082,35.92,35.92,58,100,29.55,IS,overcast clouds
312,Tuatapere,-46.1333,167.6833,64.99,64.99,71,0,5.99,NZ,clear sky
313,Prince George,53.9166,-122.753,42.8,42.01,49,90,16.11,CA,overcast clouds
314,Keetmanshoop,-26.5833,18.1333,75.2,75.2,46,0,11.5,NA,clear sky
315,Bayonet Point,28.3267,-82.6834,64.0,59.0,74,94,6.73,US,overcast clouds
316,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.77,76.77,85,10,8.16,BR,clear sky
317,Beringovskiy,63.05,179.3167,29.77,29.77,84,79,19.6,RU,broken clouds
318,Kushima,31.4583,131.2333,66.2,59.0,45,40,12.66,JP,scattered clouds
319,Natal,-5.795,-35.2094,80.6,77.0,78,40,9.22,BR,scattered clouds
320,Coihaique,-45.5752,-72.0662,47.12,47.12,98,9,5.39,CL,clear sky
321,Darnah,32.767,22.6367,51.96,51.96,71,22,4.99,LY,few clouds
322,Qurayyat,31.3318,37.3428,44.6,44.6,81,0,4.61,SA,clear sky
323,Rocha,-34.4833,-54.3333,58.41,58.41,85,20,2.24,UY,few clouds
324,The Valley,18.217,-63.0578,77.0,75.0,78,20,3.44,AI,few clouds
325,Nemuro,43.3236,145.575,39.2,39.2,52,0,18.41,JP,clear sky
326,Saint George,37.1041,-113.5841,39.0,37.0,93,90,6.91,US,overcast clouds
327,Foix,42.8333,1.5833,39.99,30.99,51,20,4.97,FR,few clouds
328,Acheng,45.5454,126.977,42.8,42.8,49,0,6.71,CN,clear sky
329,Joshimath,30.5667,79.5667,62.76,62.76,29,46,2.59,IN,scattered clouds
330,Salatrucu,45.3333,24.5167,36.0,35.6,100,90,4.61,RO,mist
331,Istok,42.7808,20.4875,39.2,39.2,81,0,4.61,XK,clear sky
332,Zomin,39.9606,68.3958,47.53,47.53,85,100,2.08,UZ,moderate rain
333,Palencia,42.4167,-4.5,39.0,33.01,88,45,5.99,ES,scattered clouds
334,Rocky Mountain House,52.3668,-114.9188,28.4,28.4,86,79,1.14,CA,broken clouds
335,Rodrigues Alves,-7.738,-72.6509,70.66,70.66,98,100,1.74,BR,overcast clouds
336,Chalchihuites,23.4833,-103.8833,51.04,51.04,44,71,4.61,MX,broken clouds
337,Aswan,24.0934,32.907,59.34,59.34,40,37,11.48,EG,scattered clouds
338,Vila Velha,-20.3297,-40.2925,77.0,75.99,65,0,4.61,BR,clear sky
339,Bela,25.9333,81.9833,89.28,89.28,23,92,10.49,IN,overcast clouds
340,Worland,44.0169,-107.9554,33.8,28.99,60,1,8.05,US,clear sky
341,Sao Sebastiao,-23.76,-45.4097,74.71,74.71,93,40,2.68,BR,scattered clouds
342,Filingue,14.3521,3.3168,72.41,72.41,16,6,11.1,NE,clear sky
343,Kodinsk,58.6881,99.1844,14.83,14.83,85,64,8.25,RU,broken clouds
344,Matadi,-5.8167,13.45,76.53,76.53,96,100,0.69,CD,overcast clouds
345,Bilma,18.6853,12.9164,76.46,76.46,7,0,13.56,NE,clear sky
346,Cayenne,4.9333,-52.3333,73.4,73.0,94,0,2.77,GF,clear sky
347,Hambantota,6.1241,81.1185,86.0,86.0,74,20,12.66,LK,few clouds
